Common name,Origin,First developed,Comment,Use
Ball´s Pippin,England,1920,"A green-yellow apple with red flush and russet. P Cox Orange x Sturmer Pippin. Flesh white, juicy, sweet, aromatic. AM from RHS in 1923. Use January.",Eating
Ballyfatten,Ireland,1740,"A large, round apple with firm, dry, sweet, slightly tart white flesh. Excellent keeper. Scab and canker resistant.","Cooking, Eating"
Baltimore(syn. Baltimore Pippin),US,1860,"W 78, H 62. Stalk 15 mm. Flesh whitish, juicy, subacid. Use December - April.",Eating
Banks,Nova Scotia,1880,A red sport from Gravenstein,"Eating, Cooking, Pie"
Barcelona Pearmain,England,1837,"One of the best dessert apples. The tree is a free grower, but does not attain the largest size.","Eating, Cooking"
Bardsey Island Apple,Wales,1998,"A medium-sized eating apple with a unique lemon aroma. Sweet and juicy. Skin color red over gold. Very disease resistant. Single tree discovered on Bardsey island in 1998, age of original tree unknown. May have monastic origins.",Eating
Barnack Beauty,England,1840,"Medium sized apple. Yellow, 25-75% flushed with orange red. AM from RHS in 1899. FCC from RHS in 1909. W 67, H 58. Stalk 20–25 mm. Flesh juicy, hard. Pick late September. Use December - March.",Eating
Barnack Orange,England,1904,"P Barnack Beauty x Cox Orange. W 76, H 67. Stalk short. Flesh white, juicy, subacid, aromatic. Pick late September. Use November - February.",Eating
Baronesa,Brazil,Introduced 1997,"P Princesa x Fuji. We 130. Flesh sweet, crisp. Tree vigorous.",Eating
"Batul(syn. Batulenka, Batulka)",Romania or Hungary,,"A green apple with red flush. Russet in stalk cavity. W 50, H 50, We 80. Flesh acidic with poor aroma.",Eating
Baumanns Reinette,Belgium,1810,"Medium size. Skin brilliant crimson. W 66, H 52. We 110. Stalk 10 – 15 mm. First Class Certificate from RHS in 1878. Pick late September. Use December - March.","Cooking, Eating"
Baxter´s Pearmain,England,1821,"A large dual purpose apple. The tree is hardy, vigorous, a most abundant bearer. Pick late September - early October. Use November–March.","Cooking, Eating"
Beacon,US,1936,"Lively, juicy flavor; good for baking. Does not keep very well.","Cooking, Eating"
Beauty of Bath,England,1864,"W 63, H 51. Stalk 9 – 12 mm. Deep red flush and streaks of red with a little russet. Early maturing but short season. Formerly grown commercially in England for local markets. FCC from RHS in 1887. Good flavor in its home climate if it is eaten soon after picking. Poor flavour if distributed long distances and stored for weeks, so now rare. Pick early August. Use early August.",Eating
Beauty of Bedford,England,1913,"H 64, W 64. P Lady Sudely x Beauty of Bath. Greenish yellow with orange flush. Flesh yellow, firm, juicy, sweet. Pick mid. September. Use September - October.",Eating
Beauty of Hants,England,1850,"A yellow apple with orange-red flush. . W 80, H 70. Stalk variable. Flesh very crisp, yellowish juicy, highly aromatic. Pick late September. Use November - February.",Eating
Beauty of Kent,England,1820,"Old culinary apple, very irregular, ribbed. W 90, H 83. AM from RHS in 1901. Flesh yellowish, tender, subacid. Pick late September. Use December–March.",Cooking
Beauty of Stoke,England,1890,"Cooking, Eating",
Beauty of Wiltshire(syn. Weisse Wachs Reinette),?,1800,"Yellow with red flush. W 65, H 56. Stalk 9 mm. Flesh juicy, very acidic. Use October - November.","Cooking, Eating"
Bedfordshire Foundling,England,1800,An excellent culinary apple. Pick late September. Use December - March.,Cooking
Bedrika(syn.Prisatka),Serbia ?,,"A green conical apple with red flush. W 77, H 65. We 184. Flesh white, sweet, with pleasant aroma.",Eating
Beefsteak,US,1870,"Stalk medium. Flesh white, tender, crisp, juicy, subacid. Very good. Use October - November.",Eating
Beeley Pippin,England,1880,"A yellow apple flushed(25-50%) with red. W 73, H 62. Stalk short. Flesh yellow, juicy, sweet, aromatic. Pick late August. Use September - October.",Eating
Belle de Boskoop agm,Netherlands,1856,"W 73-82, H 67, We 205. Stalk 10–25 mm. Flesh acid and aromatic. AM from RHS in 1897. Pick early October. Use January - April.","Cooking, Baking"
Belle de Buits,France,1860,"A yellow apple with red flush. W 68-74, H 49-54. Stalk 17 mm. Flesh white, crisp, juicy, aromatic, sweet. Use January - April.","Cooking, Eating"
Belle de Pontoise,France,1869,"Large flat-round apple. Greenish-yellow, 25-75% flushed with red. Biennial. W 86, H 64. Stalk 15–20 mm. Flesh white, sweet, juicy. Pick mid October. Use November - March.",Cooking.
Belmont,Pa. US,1870,"W 82, H 67. Stalk short to medium. Flesh yellowish, crisp, tender, juicy, aromatic. Very good. Tree vigorous, healthy, very productive. Use November - February.",Eating
Ben Davis,Southeastern US,1800,"Noted for keeping well prior to refrigerated storage, but flavour has been compared with cork.",Eating
Bennet,England,1870,A cider apple.,Cider
Benoni,US,1832,"A small orange-yellow apple with red overcolour. Flesh yellow, firm, crisp, tender, juicy, subacid, good to very good. BB. Pick late August. Use August - September.",Eating
Ben´s Red,England,1830,"Medium to large apple. Slightly ribbed. Skin flushed and striped dark red. Flesh pale yellow, sweet, aromatic. P Devonshire Quarrenden x Box Apple. Award of Merit from RHS in 1899. Pick early September. Use September.",Eating
Bentley Sweet,US,1850,"Flesh sweet. Tree vigorous,productive, an early bearer. Use April - September.",Eating
Berner Rosen,Switzerland,1860,"A red apple. H 57-62, W 62-66. We 110. Stalk 20 mm. Pick October. Use December - February.",Eating
Bess Pool,England,1824,"Round-conical apple. Flesh firm but tender, white, sweet, rather dry. Trees are shy bearers at first. W 67, H 58. Stalk 10–15 mm. Pick early October. Use November - February.",Eating
Bethlemite,US,1860,"W 78, H 58. Stalk 13 mm. Flesh juicy, subacid, aromatic. Use December - March.",Eating
Beverly Hills,US,1939,P Melba x Early McIntosh. Slightly tart flavor. Flesh white. Likes warm weather. MacIntosh style summer apple that is self fertile and well adapted to low chill conditions.[51],Eating
Bietigheimer,Germany,1870,"Fruit very large with russet. Stalk short. Tree large, vigorous. Flesh white, firm, coarse, srisp, juicy, subacid, fair to good. Use September - October.",
Birgit Bonnier,Sweden,1992,A cross between Cortland (apple) and Lord Lambourne.,
Bismarck,Australia,1870,"Large fruit with a yellow-green with red overcolour. Flesh crisp, juicy, subacid, fair to good. FCC from RHS in 1887. Width 65-85mm, height 60-72mm. use November - February.",Cooking
Black Annette,US,1820,"Flesh white, tender, good. Use November - December.",Eating
Black Apple,US,1820,"Flesh white, good. Use November - February.",Eating
Black Gilliflower,US,1800,"W 68, H 74. Stalk 15 mm. Flesh white, dry, subacid, good. Tree very productive. Use November - March",Eating
Blackjon,US,Introduced 1931,Mutation of Jonathan,Eating
Blackmack,Canada,Introduced 1930,Mutation of Red McIntosh.,Eating
Black Oxford,US,1870,"Flesh white, dry, subacid, good. Tree a great bearer. Use March - May.",Eating
Black Sweet(syn. Moore´s Sweeting),US,1820,"W 82, H 67. Stalk 10 mm. Flesh yellow, dry, very sweet. Quality inferior. Use December - March.","Baking, Cider"
Bledsoe,US,1855,"A large apple. Stalk short. Flesh crisp, juicy, subacid, good. Use September - April.",Eating
Blenheim Orange (syn. Emilia in Ecuador and Pennsylvania in Colombia)agm,England,1740,"Has greenish-yellow to orange skin streaked with red. W 75, H 60, We 165. Stalk 10–20 mm. Distinctive nutty flavor excellent for cooking. The vigorous tree is slow to come into crop but then produces heavily.","Cooking, Eating"
Bloody Ploughman,Scotland,1800,"A medium-sized, very dark red, heavily ribbed apple. Crisp, mildly sweet white flesh, sometimes pink-streaked. It is reputed to have got its name from a ploughman who was caught stealing apples near Megginch Castle and was shot by the gamekeeper. His wife got the bag of apples and threw them on the compost heap where a seedling then grew and - voila - Bloody Ploughman.",Eating
Blue Pearmain,US,1800,"A yellow apple with dark red stripes. H 63, W 70. Steam short and stout. FCC from RHS in 1896. Flesh aromatic, spicy, subacid, very good. Pick October. Use November - December.","Cooking, Cider, Eating"
Bodil Neergaard,Denmark,1855,"A green oblong conical apple. W 56-61, H 70-75. Stalk 10 mm. Pick October. Use January- March.",Eating
Böhmer(syn. Edel-Böhmer),Tyrol,1857,"Green with red flush. W 75, H 55. Stalk 13mm. Use December - March.",Eating
Böhmischer Rosenapfel,Germany,1800,"A large apple. W 81, H 56. Stalk 12 mm. Flesh juicy, sweet. Use August - September.","Eating,Cooking"
Bohnapfel,Germany,1800,"W 55, H 55, We 100. Stalk 10 – 20 mm.Pick October. Use March–May.","Cooking, Cider"
Boiken,Germany,1828,"Culinary apple. H 56, W 68, We 125. Stalk 17–23 mm. Flesh white, firm, crisp, tender, juicy, subacid, good. Picking October Use: February–May.","Cooking, Drying."
Bonum(syn. Magnum Bonum),US,1828,"W 77, H 57. Stalk 20 mm. Flesh white, firm, tender, aromatic, juicy, mild subacid, very good. Use September - December.",Eating
Borgovskoje,Russia,1860,A sweet yellow apple. Pick late August.,Eating
Bottle Greening,US,1850,"Produces large fruit. Has thick skin. Flesh white, subacid. Use January - February.","Eating, Cider"
Bough see Sweet Bough,,,,
Bountiful,England,,"W 76, H 57. Stalk 20 mm. A yellow apple flushed (0-25%) with red. Flesh, fairly juicy, fairly tender. Pick late September. Use September - January.","Cooking, Eating"
Bow Hill Pippin,England,1893,"Golden yellow with slight flush. AM from RHS in 1893. Flesh yellow, firm, juicy, good. Use November to February.",Eating
Braeburn,New Zealand,1952,Chance seedling. The fruit is widely sold commercially in the United Kingdom.,Eating
Brabant Bellefleur,France ?,1830,"Large golden yellow with red flush and stripes. Stalk short. AM from RHS in 1901. Flesh crisp, yellow, acid. Use December - April.",Cooking
Bramley (Bramley's Seedling) agm,United Kingdom,1809,"The fruit is the most widely sold cooker in the United Kingdom. Triploid. W 83, H 70. Stalk 10-20mm. Large sized fruits with waxy skin, green with a red flush. A favorite ingredient in many traditional British puddings.[65]",Cooking
"Brasil(syn. Bruckner, Bruckner do Brasil)",Brazil,1940,"Fruit large, resembles Delicious. Tree vigorous.",Eating
Bravo de Esmolfe,Portugal,1750,"A small, juicy and sweet apple, considered one of the best Portuguese apples",Eating
Breakey,Canada,Introduced 1935,"Fruit medium size, red and scarlet. Flesh white, melting, juicy, spicy. Use September - November.","Cooking, Eating"
"Breda Reinette(syn. Reinette von Breda, Reinette de Breda)",Netherlands,1850,"W 65, H 56. Stalk 7 mm. Flesh yellowish, juicy, aromatic. Use December - March.","Cooking, Eating"
Breedon Pippin,England,1801,Sweet flavor. Originally raised by a parson in Berkshire. Rare.,Eating
Breuhahn,Germany,1895,"W 63, H 53, We 93. Stalk 17 – 25 mm. Pick September - October. Use October - April.","Cooking, Eating"
Briar Sweet see Pound Sweet,,,,
Brina,Italy,1998,"Resistant to scab. Spreading habit with intermediate vigor; full flowering season is medium-late, production is heavy, fruit is medium or medium-large, with smooth skin; white lenticels, no russet, excellent taste characteristics. Ripens first week of October (Trentino).",Eating
Broad Eyed Pippin,England,1700,"A yellow apple with some light brown flush. W 93, H 70. Stalk short. Flesh white, acid. Pick late September. Use November - January.","Cooking, Cider."
Brownlee's Russet,England,1848,"Green with red flush, covered with russet. W 70-74, H 58-61. Stalk 8-12mm. Flesh greenish white, juicy, acid, nutty flavour. Pick mid October. Use December - March.",Eating
"Buckingham(Syn. Kentucky Queen, Lexington Queen)",US,1817,"W 87-93, H 67-78. Stalk 11–21 mm. Flesh coarse, juicy, subacid, fair to good. Use November - February.",Eating
Buff,US,1830,"Very large. Stalk 19 mm. Flesh, white, tender. Use November - March.",Eating
Bullock,US,1805,"W 59, H 55. Stalk 23 mm. Flesh firm, crisp, tender, juicy, aromatic, subacid, very good to best. Tree not large. Use October - January.",Eating
Bushey Grove,England,1897,"A greenish-yellow apple with red flush(25-75%). P Alexande x Dumelow. AM from RHS in 1922. W 78, H 66. Stalk short. Flesh white, juicy, acid. Pick late August. Use October - December.","Cooking, Pie"
Byfleet Seedling,England,1915,"Large cooking apple W 96, H 76 mm.",Cooking
Byford Wonder,England,1893,Yellow with russet dots. Very large. Tree very vigourous. AM from RHS in 1893.,Cooking
Cabashea,US,1851,A large oblate apple. Use September - October.,Cooking
Čačanska pozna,Serbia,Introduced 1971,"P Starking x Jonathan. W 79, H 66. We 200. Stalk medium. Diploid. Pick late September - early October.",
Čadel,Serbia,Introduced 1984,"P Golden Delicious x Jonathan. W 78-82. H 78-82. We 250-275. Stalk 45 mm. Flesh firm, crisp, juicy, acid. Pick late September - Early October.",
Cal-King,California US,1942,P unknown.,
Calville Blanc d'hiver,France,1598,"Noted for unusual looks (somewhat lumpy on the side) but excellent reward when tried. Noted for having unusually high vitamin C content. Apple of choice for tarte tatin in France. W 75, H 65. Stalk variable. Flesh white, juicy, sweet, aromatic. Pick third week of October. Use November - March.","Cooking, Eating"
Calville Rouge D`Automne,France,1670,A culinary apple of inferior quality in England.,"Cooking, Eating"
Calville Rouge D`Ete,France,1800,A culinary apple of second-rate quality.,"Cooking, Eating"
Calville Rouge D`Hiver,France,1800,"A culinary apple of second-rate quality. W 75, H 76. Stalk long. Flesh white, soft, juicy, sweet. Pick early October. Use December - March.","Cider, Cooking, Eating"
Calville Saint Sauveur,France,1839,"Yellow with red flush. W 74, H 64-71. Stalk 18mm. Pick October. Use December - February.",Eating
Cambusnethan Pippin,Scotland,1750,"A yellow apple with red flush(50-75%). W 70, H 52. Stalk medium. Flesh white, sweet, aromatic. Pick late September. Use October- December.","Eating, Cooking"
Cameo,US,1980,Existence owed to freak accidental crossing of two most popular apples in world: Red and Golden Delicious. Retains prongs on bottom of latter parent but has flavor more resembling Golden.,Eating
Campanino,Italy,1751,"Fruits have firm, crisp flesh with a rather acid flavor",Cooking
Campfield(syn. Newark Sweeting),US,1817,A cider apple. Biennial. Use November - July.,Cider
Cannon Pearmain,US,1851,"A medium size, yellow apple with red flush. Flesh yellow, subacid, very good. Use December - March.",Eating
Capital,US,1850,"W 65, H 57. Stalk 11 mm. Flesh yellow, juicy, subacid. Use December - January.",Eating
Caraway Russet see Fenouillet Gris,,,,
Carícia,Brazil,Introduced 1995,"P Prima x Anna. Flesh subacid, good. Tree vigorous.",Eating
"Cardinal(syn. Kiarolkowski, Peter the Great)",Russia,1880,"AM from RHS in 1896. Flesh soft, white, juicy, sweet, aromatic. Use August - September.",Eating
Carlisle Codlin,England,1830,"Yellow apple with no overcolour. H 58, W 65. Flesh juicy, subacid. Pick September. Use Oct. - November.",Cooking
Carlough,US,1899,"Flesh whitish, tender, juicy, subacid, good. Use November - April.",Eating
Carlton,US,Introduced 1923,"P Montgomery x Red Astrachan. Ripens 1 month later than Red Astrachan. Flesh white, tender, juicy, subacid. Tree vigorous, annual bearer.",
Carola(syn. Kalco),Germany,1962,"W 74-85, H 60, We 135-220. Stalk 5 – 20 mm. Pick September. Use September - December.","Cooking, Eating"
Carolina Red June,US,1810,"Very popular Civil-War-era Southern apple. Flesh juicy, brisk, subacid. Does beautifully in humid weather. Good choice for backyard gardener in subtropical climate, though hardy as far north as zone 5. Pick late July - early August. Use August - October.","Cooking, Eating"
Carpentin Reinette(syn. Carpentin),France or Germany,1800,"Gelb with red stripes. W 59, H 44. Stalk 15 mm. Use December - March.",Cooking.
Carroll,,1947,Ripens early.,Eating
Carswell´s Orange,England,1938,"A yellow apple with red flush(25-75%). P Cox Orange x unknown. W 67, H 63. Stalk medium. Flesh white, juicy, aromatic. Pick mid September. Use September - November.",Eating
Carter's Blue,US,1840,"Medium to large, roundish oblate; skin green or greenish yellow washed with dull red with darker red broken tripes, covered with a heavy bluish bloom. Crisp, juicy, sugary, aromatic, mild subacid. Foliage also has a blue hue. Ripens September and keeps until November. Once widely grown in the American South, then thought extinct. Reintroduced to America in 1994 after being discovered at the National Fruit Trust in Kent, England, where it had been added in 1947 from a collection in Rhone, France, after it had been acquired around 1860 from the Fruitland Nursery in Augusta, Georgia.[72]","Eating, Cooking"
Carver(sy. White Carver),Pa. US,1875,"Stalk short. Flesh yellow, juicy, tender, vinous, subacid. Tree productive. Use August.",Eating
Catline(syn. Gregson Apple),US,1875,"Below medium size. Flesh tender, juicy, sweet. Tree slow growth. Use October - December.",Eating
Catshead,England,1700,"Sharp flavor. Lumpy shape and electric green coloring. H 86, W 86. Known to have been a variety planted in early Virginia by settlers as well as native England. Extremely rare in native United Kingdom; occasionally still found growing in southern United States.",Cooking
Cauley,US,Introduced 1942,"P unknown. A large apple. Flesh yellow, crisp, juicy. Tree yields heavily.","Cooking, Jelly"
Celestia,US,1850,"W 83, H 75. Stalk 21 mm. Flesh subacid, sprightly, spicy, aromatic. Use September","Cooking, Eating"
Cellini,England,1843,"W 70-86, H 56-74. Stalk 10 – 20 mm. Pick late September. Use October - December.","Eating, Cooking."
Champagnerrenette see Reinette de Champagne,,,,
